sector,quarter,cum_funding_m,num_companies,avg_funding_rounds,avg_investor_quality,total_venture_m,total_seed_m,total_angel_m,total_pe_m,max_single_round_m,avg_round_types,cum_funding_running_m,new_funding_m,rolling_2q_funding,prev_2q_funding,funding_velocity,round_frequency,valuation_stepup,investor_competition,sentiment_proxy,stem,investor_tier,sector_multiple,trl,regulatory_momentum,cost_years_remaining,competitor_count,current_value_score,momentum_score,future_potential_score,techstock_score,techstock_market_cap_m
AI Intersections,2005-07-01,145.861091,11,1.0909090909090908,1.4000000000000001,145.644685,0.0,0.0,0.0,32.0,0.45454545454545453,398.218581,145.861091,190.444898,191.56521500000002,-0.005848227686596445,0.032544378601939705,2.633744855967078,0.056818181818181816,1.0,AI_Intersections,1.2,20.0,3.0,0.4,8.0,9.75,0.4536287385508121,34.535665980387584,33.75215998719204,20.70697458535399,7843.26898704988
Autonomous Vehicles,2005-07-01,10.0,1,1.0,1.5,10.0,0.0,0.0,0.0,10.0,1.0,141.146347,10.0,37.0,0.5,3.0,0.015384615147928998,0.37037037037037035,0.125,0.6037527593818983,Autonomous_Vehicles,1.5,12.0,6.0,0.3,4.0,1.0,0.17166398029940266,54.604619358917546,79.32977682394213,39.01272657372643,5092.565607011533
Data Center,2005-07-01,4.4438,1,2.0,1.2,2.0,0.0,2.4438,0.0,4.4438,1.0,50.143800000000006,4.4438,5.943799999999997,4.7499999999999964,0.25132626287868176,0.01075268805642271,2.9625333333333335,0.125,-0.3941952380952381,data_center,1.4,14.0,7.0,0.5,3.0,1.0,0.04808800796240338,23.531139306501878,78.50040979834499,27.880236410046862,4798.109761965256
Semiconductor Plant,2005-07-01,69.04,7,1.0,1.4142857142857144,69.04,0.0,0.0,0.0,26.0,0.5714285714285714,261.091548,69.04,186.17295000000001,38.032799,3.0,0.2916666545138894,0.65,0.07142857142857142,1.0,SemiConductor_Plant,1.5,10.0,7.0,0.8,6.0,5.75,0.3001256562146483,64.25947543571358,97.40603964861522,46.962376577139416,3767.207148952091
AI Intersections,2005-10-01,98.39352,10,1.1,1.3599999999999999,98.39352,0.0,0.0,0.0,48.3,0.6,496.61210099999994,98.39352,244.25461099999998,184.083807,0.3268663586098782,0.0295857987290361,1.509375,0.075,0.44490649851345077,AI_Intersections,1.2,20.0,3.0,0.4,8.0,12.0,0.5497569082590271,28.855500140227498,25.63854242912818,16.72896341966528,4687.17860655284
Semiconductor Plant,2005-10-01,103.62,11,1.0,1.4181818181818182,103.62,0.0,0.0,0.0,20.0,0.6363636363636364,364.711548,103.62,172.66000000000003,145.83294999999998,0.18395739656944915,0.4583333142361119,0.7692307692307693,0.07954545454545454,1.0,SemiConductor_Plant,1.5,10.0,7.0,0.8,6.0,7.75,0.42078424694851274,43.14959556170731,97.6634744210276,39.68654075063386,3943.7329936334254
AI Intersections,2006-01-01,135.892701,15,1.2,1.3666666666666667,135.892701,0.0,0.0,0.0,24.5,0.6,632.5048019999999,135.892701,234.28622099999998,190.444898,0.2302047638461558,0.044378698093554145,0.5072463768115942,0.075,-0.012929387096774214,AI_Intersections,1.2,20.0,3.0,0.4,8.0,12.0,0.703898313532917,20.26653999690858,18.76323295575661,12.065656563270323,9788.402792897457
Autonomous Vehicles,2006-01-01,15.6,2,1.5,1.35,15.6,0.0,0.0,0.0,15.0,1.0,156.746347,15.6,25.6,27.15,-0.05709023730791012,0.030769230295857996,1.5,0.125,1.0,Autonomous_Vehicles,1.5,12.0,6.0,0.3,4.0,1.25,0.1715726912139058,34.52484483986797,85.29715420149493,33.47661332081309,5706.644343594368
Semiconductor Plant,2006-01-01,175.65075,17,1.0588235294117647,1.464705882352941,175.65075,0.0,0.0,0.0,26.3,0.8235294117647058,540.362298,175.65075,279.27074999999996,186.17295000000001,0.500060827848187,0.7083333038194456,1.315,0.10294117647058823,1.0,SemiConductor_Plant,1.5,10.0,7.0,0.8,6.0,11.0,0.6444115426772473,54.65134692061991,98.16729408363584,43.927559560196826,6661.814790132445
AI Intersections,2006-04-01,328.528319,15,1.3333333333333333,1.4,323.528319,5.0,0.0,0.0,82.0,0.7333333333333333,961.0331209999999,328.528319,464.42102,244.25461099999998,0.901380764920828,0.044378698093554145,3.3469387755102042,0.09166666666666666,1.0,AI_Intersections,1.2,20.0,3.0,0.4,8.0,12.75,1.0961391215700833,46.62689004430965,34.17382095536676,25.301322402978094,19227.822504989574
Data Center,2006-04-01,1.87,1,1.0,1.3,1.87,0.0,0.0,0.0,1.87,1.0,52.0138,1.87,6.313799999999997,5.9999999999999964,0.0522999912833349,0.01075268805642271,0.42081101759755163,0.125,1.0,data_center,1.4,14.0,7.0,0.5,3.0,1.0,0.05415919586272717,32.36064809047426,99.43700308314111,36.20714128079636,9666.41323880855
Robotics,2006-04-01,12.2,2,2.0,1.25,11.6,0.1,0.5,0.0,11.6,1.0,31.7,12.2,31.7,,,0.09523809070294806,0.5948717948717949,0.125,0.0,robotics,1.3,16.0,4.0,0.2,7.0,1.5,0.031332906456076344,22.202489780793606,28.932747237723046,15.016591395290954,10133.012249340527
Semiconductor Plant,2006-04-01,245.9,11,1.2727272727272727,1.5,245.9,0.0,0.0,0.0,38.0,1.0,786.262298,245.9,421.55075,172.66000000000003,1.4415078684031744,0.4583333142361119,1.4448669201520912,0.125,0.5496619439705055,SemiConductor_Plant,1.5,10.0,7.0,0.8,6.0,11.5,0.9607345494343043,53.1114529658161,91.70195015604605,41.898789896820865,9010.583269003035
AI Intersections,2006-07-01,502.083596,16,1.4375,1.4125,206.14531,0.0,0.0,292.5,172.5,0.5625,1463.1167169999999,502.083596,830.611915,234.28622099999998,2.54528708051812,0.04733727796645776,2.1036585365853657,0.0703125,1.0,AI_Intersections,1.2,20.0,3.0,0.4,8.0,14.0,1.6842322881436382,57.673543885367295,33.76843115035292,29.301541062724233,24031.13822238159
Autonomous Vehicles,2006-07-01,43.66,3,1.0,1.4000000000000001,43.66,0.0,0.0,0.0,25.0,0.3333333333333333,200.40634699999998,43.66,59.26,37.0,0.6016216053615783,0.04615384544378699,1.6666666666666667,0.041666666666666664,1.0,Autonomous_Vehicles,1.5,12.0,6.0,0.3,4.0,1.75,0.2278058338454047,37.30892967254872,84.07962566075001,34.16915413411772,13244.988454907121
Data Center,2006-07-01,4.0,3,1.3333333333333333,1.0999999999999999,3.5,0.5,0.0,0.0,3.5,0.3333333333333333,56.0138,4.0,5.8699999999999966,5.943799999999997,-0.01241629724817509,0.03225806416926813,1.8716577540106951,0.041666666666666664,-0.05555555555555558,data_center,1.4,14.0,7.0,0.5,3.0,1.5,0.04926436391586244,18.98904426226634,82.36822447905033,27.257927357122146,13254.201948600585
Semiconductor Plant,2006-07-01,251.364,11,1.5454545454545454,1.4454545454545455,251.364,0.0,0.0,0.0,162.0,0.9090909090909091,1037.626298,251.364,497.264,279.27074999999996,0.780580312186005,0.4583333142361119,4.2631578947368425,0.11363636363636363,1.0,SemiConductor_Plant,1.5,10.0,7.0,0.8,6.0,12.5,1.2220376993368445,58.96830144157694,98.2262456146729,45.68428198795489,12735.071380806503
AI Intersections,2006-10-01,215.441044,14,1.4285714285714286,1.3714285714285714,215.441044,0.0,0.0,0.0,93.0,0.5714285714285714,1678.5577609999998,215.441044,717.52464,464.42102,0.5449874328578249,0.04142011822065054,0.5391304347826087,0.07142857142857142,0.5947928481469105,AI_Intersections,1.2,20.0,3.0,0.4,8.0,15.0,1.8761598636620316,30.38899149688126,27.632434129462844,18.294719501738964,13416.115649511728
Autonomous Vehicles,2006-10-01,51.154425,5,1.2,1.24,49.951,0.403425,0.8,0.0,40.0,0.4,251.560772,51.154425,94.814425,25.6,2.703688370949673,0.07692307573964499,1.6,0.05,0.4473041666666667,Autonomous_Vehicles,1.5,12.0,6.0,0.3,4.0,2.75,0.2533830027911439,50.883446335636286,75.97272016679135,36.90373946028699,9450.605223628647
Data Center,2006-10-01,43.112,3,1.6666666666666667,1.1666666666666667,41.0,0.112,2.0,0.0,41.0,0.6666666666666666,99.1258,43.112,47.111999999999995,6.313799999999997,3.0,0.03225806416926813,10.0,0.08333333333333333,1.0,data_center,1.4,14.0,7.0,0.5,3.0,2.0,0.09332335287357356,81.72930258534615,98.87906771967911,53.36235217594036,14274.837746666795
Semiconductor Plant,2006-10-01,288.2,10,1.4,1.47,206.2,0.0,0.0,82.0,82.0,1.1,1325.826298,288.2,539.564,421.55075,0.27995027815761137,0.41666664930555625,0.5061728395061729,0.1375,0.8906581740976645,SemiConductor_Plant,1.5,10.0,7.0,0.8,6.0,12.25,1.588266176433195,43.85122461418529,96.95956485563676,40.223126299447316,8600.972162161803
AI Campus,2007-01-01,2.3,2,1.0,1.0,0.0,0.3,0.0,0.0,2.0,0.0,10.149999999999999,2.3,7.55,2.6,1.9038454215979144,0.07999999680000013,0.38095238095238093,0.0,0.0,AI_Campus,1.5,18.0,5.0,0.6,5.0,1.25,0.0072981005278304045,32.70389516875236,66.41225988525177,28.0523475205874,9190.80059897801
